Timestamp,X,Y,Yaw,VX,VY,VYaw,Left_Front_Input,Right_Front_Input,Left_Rear_Input,Right_Rear_Input,X_ref,Y_ref,Yaw_ref
2025-08-25 11:22:37.202976,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.384367,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.402776,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.502757,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.602830,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.702822,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.805853,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:37.902781,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.002803,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.102765,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.202763,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.303165,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.402857,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.502715,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.602886,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.702765,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.802832,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2025-08-25 11:22:38.902761,4.415369542866836,1.3685075588730868,1.7848212929780922,0.0,0.0,0.0,12,0,0,12,0.0,0.0,0.0
2025-08-25 11:22:39.002947,4.415601714968336,1.3688684730720013,1.7845515602755113,0.003049174833316757,-0.003049174833316757,-0.0027103776296148953,12,0,0,12,0.0,0.0,0.0
2025-08-25 11:22:39.102742,4.415601714968336,1.3688684730720013,1.7845515602755113,0.0,0.0,0.0,12,0,0,12,0.0,0.0,0.0
2025-08-25 11:22:39.202738,4.415601714968336,1.3688684730720013,1.7845515602755113,0.0,0.0,0.0,24,0,0,24,0.0,0.0,0.0
2025-08-25 11:22:39.302700,4.415900165791711,1.3694927732879458,1.785900223788416,0.005461671484830647,-0.004247966710423837,0.013485608604520118,24,0,0,24,0.0,0.0,0.0
2025-08-25 11:22:39.402718,4.4161319483567025,1.3698539377743766,1.7856304910858352,0.0030346956520521094,-0.0030346956520521094,-0.002697507246268542,24,0,0,24,0.0,0.0,0.0
2025-08-25 11:22:39.502740,4.41617828538444,1.3699261831729024,1.785900223788416,0.0006069214253295685,-0.0006069214253295685,0.0026974285570203044,36,0,0,36,0.0,0.0,0.0
2025-08-25 11:22:39.602706,4.416502235246574,1.3704321632678287,1.786709421896159,0.004248412759810337,-0.004248412759810337,0.008092214780591118,36,0,0,36,0.0,0.0,0.0
2025-08-25 11:22:39.702779,4.41687308735056,1.371010026446118,1.785630491085835,0.004855258125200725,-0.004855258125200725,-0.010789462500446056,36,0,0,36,0.0,0.0,0.0
2025-08-25 11:22:39.802716,4.417521532898038,1.3720216369692484,1.786169956490997,0.008496206043347578,-0.008496206043347578,0.00539441653545878,48,0,0,48,0.0,0.0,0.0
2025-08-25 11:22:39.902911,4.418584593942835,1.373685003766914,1.7875186200039017,0.013960251428293307,-0.013960251428293307,0.013488165631201265,48,0,0,48,0.0,0.0,0.0
2025-08-25 11:22:40.002983,4.420803156123281,1.3771563779533467,1.7875186200039017,0.02906195744515247,-0.02906195744515247,0.0,48,0,0,48,0.0,0.0,0.0
2025-08-25 11:22:40.102970,4.424863651238336,1.3835249486610413,1.7885975508142258,0.05352680225650976,-0.05352680225650976,0.010813495405355492,36,-12,-12,36,0.0,0.0,0.0
2025-08-25 11:22:40.202728,4.430000961481589,1.3914464557606816,1.7899462143271303,0.06616157512523545,-0.06737554898074437,0.013488598394543425,36,-12,-12,36,0.0,0.0,0.0
2025-08-25 11:22:40.302715,4.434885803267832,1.3991216439757475,1.7894067489219687,0.0643239153527261,-0.0643239153527261,-0.005394039023289392,36,-12,-12,36,0.0,0.0,0.0
2025-08-25 11:22:40.402840,4.439378986083599,1.406232153425368,1.7926435413529398,0.058713660514497286,-0.058713660514497286,0.0319530125248965,24,-24,-24,24,0.0,0.0,0.0
